X,Y,Z,trialNumber,phaseNumber
-0.2300321,0.9200548,0.5854,1,3
-0.230032,0.920059,0.5854,1,3
-0.2300317,0.9200846,0.5854,1,3
-0.2300318,0.9200736,0.5854,1,3
-0.2300324,0.9200329,0.5854,1,3
-0.2300328,0.919995,0.5854,1,3
-0.2300334,0.9199541,0.5854,1,3
-0.2300334,0.9199541,0.5854,1,3
-0.2300332,0.9199649,0.5854,1,3
-0.2300329,0.9199886,0.5854,1,3
-0.230033,0.9199865,0.5854,1,3
-0.2300336,0.9199351,0.5854,1,3
-0.2300341,0.9198929,0.5854,1,3
-0.230034,0.9198972,0.5854,1,3
-0.2300342,0.9198868,0.5854,1,3
-0.2300346,0.9198513,0.5854,1,3
-0.2300344,0.9198706,0.5854,1,3
-0.2300345,0.9198613,0.5854,1,3
-0.2300342,0.919882,0.5854,1,3
-0.2300342,0.9198858,0.5854,1,3
-0.2300335,0.9199383,0.5854,1,3
-0.2300329,0.9199926,0.5854,1,3
-0.2300325,0.9200244,0.5854,1,3
-0.2300314,0.9201108,0.5854,1,3
-0.2300304,0.9201826,0.5854,1,3
-0.2300296,0.9202406,0.5854,1,3
-0.2300285,0.9203236,0.5854,1,3
-0.2300255,0.9205259,0.5854,1,3
-0.2300224,0.9207298,0.5854,1,3
-0.2300192,0.9209242,0.5854,1,3
-0.230016,0.9211122,0.5854,1,3
-0.2300135,0.9212458,0.5854,1,3
-0.2300102,0.9214215,0.5854,1,3
-0.2300081,0.9215302,0.5854,1,3
-0.2300036,0.9217527,0.5854,1,3
-0.2299986,0.9219866,0.5854,1,3
-0.2299946,0.9221667,0.5854,1,3
-0.2299906,0.9223428,0.5854,1,3
-0.2299867,0.9225049,0.5854,1,3
-0.2299828,0.9226631,0.5854,1,3
-0.2299793,0.9227993,0.5854,1,3
-0.229977,0.9228871,0.5854,1,3
-0.2299759,0.9229295,0.5854,1,3
-0.2299749,0.9229685,0.5854,1,3
-0.2299755,0.9229465,0.5854,1,3
-0.2299759,0.922929,0.5854,1,3
-0.2299765,0.9229084,0.5854,1,3
-0.2299766,0.9229029,0.5854,1,3
-0.2299777,0.922862,0.5854,1,3
-0.2299814,0.9227163,0.5854,1,3
-0.229984,0.9226122,0.5854,1,3
-0.2299894,0.9223927,0.5854,1,3
-0.2299894,0.9223927,0.5854,1,3
-0.2299955,0.9221292,0.5854,1,3
-0.2300043,0.9217224,0.5854,1,3
-0.2300083,0.9215208,0.5854,1,3
-0.2300138,0.9212321,0.5854,1,3
-0.2300189,0.9209403,0.5854,1,3
-0.2300245,0.9205946,0.5854,1,3
-0.2300291,0.9202813,0.5854,1,3
-0.2300337,0.9199289,0.5854,1,3
-0.2300373,0.9196055,0.5854,1,3
-0.2300407,0.9192626,0.5854,1,3
-0.2300433,0.918945,0.5854,1,3
-0.2300455,0.9186291,0.5854,1,3
-0.2300473,0.9182796,0.5854,1,3
-0.2300486,0.9179211,0.5854,1,3
-0.2300493,0.9175302,0.5854,1,3
-0.2300493,0.9171811,0.5854,1,3
-0.2300487,0.9168192,0.5854,1,3
-0.2300477,0.916508,0.5854,1,3
-0.2300462,0.9162048,0.5854,1,3
-0.2300442,0.9158743,0.5854,1,3
-0.2300415,0.9155262,0.5854,1,3
-0.2300384,0.9151995,0.5854,1,3
-0.2300351,0.9148909,0.5854,1,3
-0.2300308,0.9145482,0.5854,1,3
-0.2300282,0.9143609,0.5854,1,3
-0.2300259,0.9142,0.5854,1,3
-0.2300229,0.9140036,0.5854,1,3
-0.2300204,0.9138492,0.5854,1,3
-0.2300204,0.9138492,0.5854,1,3
-0.230016,0.9135897,0.5854,1,3
-0.2300131,0.9134322,0.5854,1,3
-0.2300098,0.9132594,0.5854,1,3
-0.2300088,0.9132034,0.5854,1,3
-0.2300076,0.9131458,0.5854,1,3
-0.2300073,0.9131306,0.5854,1,3
-0.2300076,0.9131427,0.5854,1,3
-0.2300076,0.9131427,0.5854,1,3
-0.2300084,0.9131839,0.5854,1,3
-0.2300086,0.9131942,0.5854,1,3
-0.2300098,0.9132564,0.5854,1,3
-0.2300098,0.9132564,0.5854,1,3
-0.2300114,0.9133387,0.5854,1,3
-0.2300129,0.9134227,0.5854,1,3
-0.2300135,0.9134552,0.5854,1,3
-0.2300135,0.9134552,0.5854,1,3
-0.2300139,0.913477,0.5854,1,3
-0.2300148,0.9135245,0.5854,1,3
-0.2300159,0.9135841,0.5854,1,3
-0.2300168,0.9136379,0.5854,1,3
-0.2300168,0.9136379,0.5854,1,3
-0.2300185,0.9137368,0.5854,1,3
-0.2300202,0.9138359,0.5854,1,3
-0.2300202,0.9138335,0.5854,1,3
-0.2300202,0.9138335,0.5854,1,3
-0.23002,0.9138224,0.5854,1,3
-0.23002,0.9138248,0.5854,1,3
-0.2300204,0.9138473,0.5854,1,3
-0.2300211,0.9138889,0.5854,1,3
-0.2300197,0.9138051,0.5854,1,3
-0.2300199,0.9138182,0.5854,1,3
-0.2300195,0.9137943,0.5854,1,3
-0.2300195,0.9137948,0.5854,1,3
-0.2300168,0.9136387,0.5854,1,3
-0.2300161,0.9135994,0.5854,1,3
-0.2300159,0.913587,0.5854,1,3
-0.2300166,0.9136267,0.5854,1,3
-0.2300175,0.9136771,0.5854,1,3
-0.2300191,0.913773,0.5854,1,3
-0.2300201,0.9138286,0.5854,1,3
-0.2300204,0.9138522,0.5854,1,3
-0.2300211,0.9138939,0.5854,1,3
-0.2300208,0.9138749,0.5854,1,3
-0.2300224,0.9139736,0.5854,1,3
-0.2300224,0.9139729,0.5854,1,3
-0.2300234,0.9140342,0.5854,1,3
-0.2300244,0.9141008,0.5854,1,3
-0.2300251,0.914145,0.5854,1,3
-0.2300264,0.9142359,0.5854,1,3
-0.2300272,0.9142884,0.5854,1,3
-0.2300285,0.9143779,0.5854,1,3
-0.2300293,0.9144344,0.5854,1,3
-0.2300293,0.9144344,0.5854,1,3
-0.2300301,0.9144933,0.5854,1,3
-0.230032,0.914642,0.5854,1,3
-0.2300328,0.9147059,0.5854,1,3
-0.2300341,0.9148077,0.5854,1,3
-0.2300341,0.9148077,0.5854,1,3
-0.2300357,0.9149444,0.5854,1,3
-0.2300368,0.9150416,0.5854,1,3
-0.2300378,0.9151422,0.5854,1,3
-0.2300394,0.9152959,0.5854,1,3
-0.2300391,0.9152707,0.5854,1,3
-0.230039,0.9152574,0.5854,1,3
-0.2300391,0.9152735,0.5854,1,3
-0.2300395,0.9153131,0.5854,1,3
-0.2300401,0.9153754,0.5854,1,3
-0.2300401,0.9153783,0.5854,1,3
-0.2300407,0.9154359,0.5854,1,3
-0.2300414,0.9155174,0.5854,1,3
-0.2300418,0.915561,0.5854,1,3
-0.2300419,0.9155793,0.5854,1,3
-0.2300419,0.9155729,0.5854,1,3
-0.2300423,0.9156252,0.5854,1,3
-0.230043,0.9157184,0.5854,1,3
-0.2300436,0.9157895,0.5854,1,3
-0.2300442,0.9158717,0.5854,1,3
-0.2300447,0.9159524,0.5854,1,3
-0.2300449,0.9159749,0.5854,1,3
-0.2300451,0.9160064,0.5854,1,3
-0.2300457,0.9161124,0.5854,1,3
-0.2300464,0.9162372,0.5854,1,3
-0.230047,0.9163668,0.5854,1,3
-0.2300476,0.9165076,0.5854,1,3
-0.2300481,0.9166348,0.5854,1,3
-0.2300485,0.9167637,0.5854,1,3
-0.230049,0.9169652,0.5854,1,3
-0.2300491,0.9170325,0.5854,1,3
