X,Y,Z,trialNumber,phaseNumber
0.3813787,0.9259913,0.586,1,3
0.3811364,0.9260086,0.586,1,3
0.380819,0.9260724,0.586,1,3
0.3804547,0.9260325,0.586,1,3
0.3800076,0.9260456,0.586,1,3
0.3795515,0.9260023,0.586,1,3
0.3790031,0.9259899,0.586,1,3
0.3784436,0.9258863,0.586,1,3
0.3778138,0.925779,0.586,1,3
0.3771465,0.9257135,0.586,1,3
0.3764068,0.9255461,0.586,1,3
0.3756029,0.925406,0.586,1,3
0.374781,0.9252917,0.586,1,3
0.3738665,0.925131,0.586,1,3
0.3728586,0.9247502,0.586,1,3
0.3719635,0.9243694,0.586,1,3
0.37091,0.9240066,0.586,1,3
0.3698182,0.9236575,0.586,1,3
0.3686399,0.9234092,0.586,1,3
0.3674378,0.9230859,0.586,1,3
0.3661205,0.9228857,0.586,1,3
0.3647686,0.9224815,0.586,1,3
0.3635585,0.9220595,0.586,1,3
0.3621429,0.9217368,0.586,1,3
0.3606958,0.9214239,0.586,1,3
0.3591917,0.9211383,0.586,1,3
0.3576483,0.9208621,0.586,1,3
0.3559636,0.9206277,0.586,1,3
0.3542957,0.9204803,0.586,1,3
0.3525825,0.9204137,0.586,1,3
0.3507411,0.9203546,0.586,1,3
0.3489119,0.9204016,0.586,1,3
0.3469812,0.920441,0.586,1,3
0.3450906,0.9204851,0.586,1,3
0.3430341,0.9205039,0.586,1,3
0.3409693,0.9205826,0.586,1,3
0.338972,0.9208367,0.586,1,3
0.33681,0.9210188,0.586,1,3
0.3344385,0.9213912,0.586,1,3
0.3324408,0.9213955,0.586,1,3
0.3300765,0.9218334,0.586,1,3
0.3276173,0.9224989,0.586,1,3
0.3253926,0.9228232,0.586,1,3
0.3229486,0.9232826,0.586,1,3
0.3203836,0.9237399,0.586,1,3
0.3179091,0.9242761,0.586,1,3
0.315477,0.9247534,0.586,1,3
0.312833,0.9252828,0.586,1,3
0.3102165,0.9257587,0.586,1,3
0.3073871,0.926254,0.586,1,3
0.3047045,0.9267038,0.586,1,3
0.3021418,0.9271448,0.586,1,3
0.2993107,0.9276238,0.586,1,3
0.2964997,0.9281074,0.586,1,3
0.2934965,0.9286251,0.586,1,3
0.2907023,0.9290756,0.586,1,3
0.287712,0.9295309,0.586,1,3
0.2846988,0.9299028,0.586,1,3
0.2815977,0.9302524,0.586,1,3
0.2786068,0.9306343,0.586,1,3
0.2754163,0.9310255,0.586,1,3
0.2723114,0.9313794,0.586,1,3
0.2690735,0.931695,0.586,1,3
0.2651136,0.9320219,0.586,1,3
0.2625714,0.9321815,0.586,1,3
0.2593228,0.9322762,0.586,1,3
0.2558183,0.9324025,0.586,1,3
0.2526112,0.93248,0.586,1,3
0.2492592,0.9323521,0.586,1,3
0.2457971,0.9325435,0.586,1,3
0.2423146,0.9326001,0.586,1,3
0.2387661,0.9326676,0.586,1,3
0.2348998,0.9325763,0.586,1,3
0.2316449,0.9325101,0.586,1,3
0.2279927,0.9323763,0.586,1,3
0.2241607,0.9322033,0.586,1,3
0.2207289,0.9320609,0.586,1,3
0.2170869,0.9318639,0.586,1,3
0.2132826,0.9316956,0.586,1,3
0.2092119,0.9314607,0.586,1,3
0.205774,0.93132,0.586,1,3
0.2019218,0.9310766,0.586,1,3
0.1979775,0.9308308,0.586,1,3
0.1941473,0.9306444,0.586,1,3
0.1902726,0.9304893,0.586,1,3
0.1864244,0.9303142,0.586,1,3
0.1823371,0.930106,0.586,1,3
0.1783749,0.9298935,0.586,1,3
0.174015,0.9296729,0.586,1,3
